Unnamed: 0,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
365,32.0,no,desconocido,693.8492063492063,desconocido,3,4,Medical,366,3,male,69.53208262471655,3,2,manufacturing_director,1,Married,4492.84,14570.83,1,desconocido,desconocido,12,3.0,3,Full Time,1,8.0,2,4.0,8,6,3,1991,67250.0,0
366,36.0,yes,travel_rarely,1065.2777777777778,desconocido,3,1,Life Sciences,367,3,female,69.53208262471655,2,3,sales_executive,4,Married,8604.17,22370.83,1,Y,desconocido,11,3.0,1,Full Time,1,10.0,6,3.0,16,3,7,1987,103250.0,0
367,45.0,no,non-travel,458.8174603174604,desconocido,47,2,desconocido,368,47,female,69.53208262471655,3,2,laboratory_technician,2,desconocido,4492.84,9635.17,1,desconocido,desconocido,12,3.0,2,Part Time,0,10.0,5,2.0,9,0,8,1978,44470.0,1
368,39.0,no,travel_rarely,1032.4872861766066,desconocido,2,5,desconocido,369,1,female,129.06091077207583,4,3,sales_executive,3,Single,4492.84,21682.23,0,desconocido,No,18,3.0,4,Part Time,0,9.0,3,3.0,8,0,7,1984,100071.84,0
369,36.0,no,non-travel,556.2566609977324,desconocido,8,4,Technical Degree,370,1,female,69.53208262471655,3,2,sales_executive,4,Divorced,4492.84,11681.39,4,desconocido,No,13,3.0,4,Part Time,2,12.0,3,3.0,7,0,7,1987,53914.11,yes
370,46.0,no,desconocido,1118.928571428571,desconocido,7,2,Medical,371,4,female,139.86607142857142,3,3,manufacturing_director,3,desconocido,9037.5,23497.5,6,Y,desconocido,13,3.0,2,Full Time,1,10.0,3,3.0,8,0,7,1977,108450.0,0
371,54.0,no,travel_rarely,1032.4872861766066,desconocido,17,3,Technical Degree,372,3,male,69.53208262471655,3,3,manufacturing_director,3,desconocido,8339.32,21682.23,8,desconocido,desconocido,11,3.0,3,Part Time,1,22.0,2,3.0,10,0,8,1969,100071.84,true
372,30.0,no,travel_rarely,1032.4872861766066,desconocido,8,2,desconocido,373,2,male,69.53208262471655,4,3,research_director,1,desconocido,8339.32,21682.23,0,Y,Yes,12,3.0,3,Part Time,3,10.0,4,2.0,8,1,7,1993,100071.84,true
373,26.0,no,desconocido,564.5714285714286,desconocido,2,2,Medical,374,4,female,70.57142857142857,4,2,manufacturing_director,4,Married,4492.84,11856.0,1,desconocido,desconocido,12,3.0,2,Full Time,0,10.0,2,3.0,8,1,3,1997,54720.0,0
374,55.0,no,travel_frequently,658.7698412698413,desconocido,18,4,Medical,375,3,female,69.53208262471655,3,2,healthcare_representative,2,Married,5320.83,13834.17,3,desconocido,desconocido,14,3.0,4,Full Time,2,10.0,3,3.0,8,6,7,1968,63850.0,1
375,50.0,no,non-travel,654.8492063492064, Sales ,1,3,Life Sciences,376,4,male,69.53208262471655,3,2,sales_executive,3,Married,4492.84,13751.83,0,Y,desconocido,12,3.0,1,Full Time,1,10.0,3,3.0,18,0,13,1973,63470.0,true
376,32.0,no,non-travel,290.03550973654063,desconocido,29,4,desconocido,377,4,male,69.53208262471655,3,1,laboratory_technician,3,Single,4492.84,6090.75,9,desconocido,No,12,3.0,2,Part Time,0,10.0,2,3.0,8,7,7,1991,28111.13,1
377,53.0,no,travel_frequently,776.3888888888888,desconocido,2,3,Marketing,378,3,male,97.0486111111111,2,3,sales_executive,2,desconocido,4492.84,16304.17,2,desconocido,desconocido,12,3.0,1,Part Time,1,30.0,2,3.0,15,6,12,1970,75250.0,1
378,40.0,no,travel_rarely,556.2566609977324,desconocido,26,3,desconocido,379,3,female,69.53208262471655,3,2,sales_executive,1,Married,4492.84,11681.39,1,desconocido,desconocido,14,3.0,2,Part Time,1,8.0,3,2.0,7,7,5,1983,53914.11,0
379,55.0,no,desconocido,1582.7713464696226,desconocido,2,1,desconocido,380,3,female,69.53208262471655,2,4,manager,1,Single,12783.92,33238.2,7,desconocido,No,15,3.0,2,desconocido,0,10.0,3,4.0,9,6,2,1968,53914.11,true
380,28.0,yes,non-travel,1032.4872861766066,desconocido,24,2,desconocido,381,2,female,69.53208262471655,2,3,healthcare_representative,1,Single,8339.32,21682.23,1,Y,No,12,3.0,1,Part Time,0,10.0,2,2.0,10,1,9,1995,100071.84,false
381,28.0,no,travel_rarely,377.6190476190477,desconocido,10,3,Other,382,3,male,69.53208262471655,3,2,research_scientist,3,Single,3050.0,7930.0,3,desconocido,No,13,3.0,4,desconocido,0,10.0,4,4.0,8,1,7,1995,53914.11,yes
382,35.0,yes,desconocido,1032.4872861766066,desconocido,4,3,Technical Degree,383,4,female,69.53208262471655,3,3,sales_executive,1,desconocido,4492.84,21682.23,0,Y,desconocido,22,4.0,1,Part Time,0,9.0,2,3.0,8,4,7,1988,100071.84,yes
383,33.0,yes,travel_frequently,556.2566609977324, Research & Development ,36,4,Medical,384,36,male,69.53208262471655,2,2,research_scientist,3,Single,4492.84,11681.39,1,desconocido,No,22,4.0,2,Part Time,0,14.0,4,3.0,13,3,8,1990,53914.11,1
384,25.0,yes,desconocido,290.03550973654063, Research & Development ,4,1,Technical Degree,385,4,female,69.53208262471655,3,1,laboratory_technician,4,Married,4492.84,6090.75,1,Y,desconocido,15,3.0,2,Part Time,1,7.0,3,4.0,7,5,6,1998,28111.13,yes
385,38.0,no,desconocido,901.7460317460316, Sales ,10,4,desconocido,386,3,female,69.53208262471655,2,3,sales_executive,3,desconocido,7283.33,18936.67,0,desconocido,Yes,14,3.0,2,Part Time,2,9.0,2,3.0,8,2,7,1985,87400.0,true
386,28.0,no,desconocido,1032.4872861766066,desconocido,12,3,desconocido,387,12,male,69.53208262471655,3,3,manufacturing_director,2,desconocido,4492.84,21682.23,0,desconocido,desconocido,17,3.0,2,Part Time,3,10.0,3,2.0,9,1,7,1995,100071.84,true
387,43.0,no,travel_frequently,1032.4872861766066,desconocido,27,3,Life Sciences,388,3,male,129.06091077207583,3,3,manufacturing_director,1,Married,4492.84,21682.23,8,desconocido,No,11,3.0,3,Part Time,1,18.0,1,3.0,8,0,1,1980,100071.84,false
388,39.0,yes,travel_frequently,1582.7713464696226, Research & Development ,2,3,Life Sciences,389,1,female,197.8464183087028,3,4,healthcare_representative,4,desconocido,12783.92,33238.2,7,desconocido,No,11,3.0,4,Full Time,3,21.0,4,3.0,18,11,5,1984,153407.07,0
389,40.0,no,travel_rarely,1973.9841269841268,desconocido,14,3,desconocido,390,3,female,69.53208262471655,2,5,research_director,3,desconocido,4492.84,41453.67,1,Y,No,14,3.0,1,Full Time,0,10.0,2,3.0,20,4,9,1983,191324.62,yes
390,29.0,no,travel_rarely,556.2566609977324,desconocido,8,1,Medical,391,2,female,69.53208262471655,2,2,manufacturing_director,4,Married,4492.84,11681.39,1,desconocido,desconocido,15,3.0,3,desconocido,1,10.0,2,2.0,10,1,2,1994,53914.11,yes
391,40.0,no,desconocido,1392.7539682539682,desconocido,32,4,desconocido,392,2,male,69.53208262471655,3,3,research_director,3,desconocido,11249.17,29247.83,9,desconocido,No,17,3.0,3,Full Time,0,20.0,3,2.0,18,2,13,1983,134990.0,0
392,26.0,no,travel_rarely,290.03550973654063,desconocido,3,4,desconocido,393,1,female,69.53208262471655,4,1,laboratory_technician,4,desconocido,2342.59,6090.75,1,Y,desconocido,22,4.0,2,Part Time,1,8.0,2,3.0,8,0,7,1997,28111.13,true
393,35.0,no,travel_rarely,1032.4872861766066,desconocido,2,3,desconocido,394,3,female,69.53208262471655,2,3,manufacturing_director,2,Divorced,8339.32,21682.23,2,desconocido,No,18,3.0,2,desconocido,1,15.0,2,4.0,7,6,4,1988,53914.11,yes
394,53.0,no,desconocido,1973.9841269841268, Research & Development ,7,2,Medical,395,4,male,69.53208262471655,3,5,manager,3,Divorced,15943.72,41453.67,3,Y,No,18,3.0,2,Full Time,1,26.0,6,3.0,7,4,7,1970,191324.62,0
395,35.0,no,desconocido,556.2566609977324,desconocido,17,4,Life Sciences,396,3,female,69.53208262471655,3,2,sales_executive,1,desconocido,4492.84,11681.39,3,Y,desconocido,15,3.0,4,Part Time,3,15.0,2,3.0,7,1,7,1988,53914.11,1
396,33.0,no,desconocido,556.2566609977324,desconocido,25,3,Medical,397,2,male,69.53208262471655,3,2,sales_executive,3,desconocido,4492.84,11681.39,1,desconocido,No,12,3.0,1,Part Time,1,10.0,3,2.0,10,0,1,1990,53914.11,1
397,36.0,no,desconocido,290.03550973654063, Research & Development ,6,4,Life Sciences,398,3,female,69.53208262471655,1,1,laboratory_technician,3,Divorced,4492.84,6090.75,1,Y,No,14,3.0,3,Part Time,1,10.0,4,3.0,7,1,7,1987,28111.13,1
398,30.0,no,travel_rarely,360.1825396825397,desconocido,7,4,Life Sciences,399,3,female,45.02281746031746,3,2,laboratory_technician,3,Divorced,2909.17,7563.83,1,desconocido,desconocido,13,3.0,1,Part Time,3,10.0,4,2.0,10,8,9,1993,34910.0,true
399,60.0,no,desconocido,538.5714285714286,desconocido,29,4,desconocido,400,29,female,69.53208262471655,4,2,sales_executive,4,Divorced,4350.0,11310.0,0,desconocido,desconocido,18,3.0,2,desconocido,1,12.0,3,3.0,11,1,9,1963,53914.11,true
400,32.0,no,desconocido,556.2566609977324,desconocido,2,2,Life Sciences,401,4,male,69.53208262471655,3,2,research_scientist,3,Single,4492.84,11681.39,4,Y,Yes,14,3.0,4,Part Time,0,10.0,2,3.0,8,0,7,1991,53914.11,0
401,36.0,no,desconocido,1057.7460317460318,desconocido,1,3,Technical Degree,402,3,male,69.53208262471655,1,3,manufacturing_director,1,Divorced,8543.33,22212.67,2,desconocido,Yes,21,4.0,3,Full Time,1,17.0,2,3.0,7,7,7,1987,102520.0,yes
402,27.0,no,travel_rarely,290.03550973654063,desconocido,14,3,desconocido,403,1,female,69.53208262471655,3,1,research_scientist,1,desconocido,2342.59,6090.75,1,desconocido,desconocido,14,3.0,4,desconocido,2,10.0,3,2.0,9,6,8,1996,53914.11,yes
403,43.0,no,desconocido,2036.6666666666667, Research & Development ,3,3,Life Sciences,404,3,female,69.53208262471655,1,5,research_director,4,desconocido,16450.0,42770.0,3,Y,No,14,3.0,2,Full Time,1,10.0,2,3.0,8,0,7,1980,197400.0,yes
404,29.0,no,travel_rarely,1582.7713464696226,desconocido,1,3,desconocido,405,4,male,69.53208262471655,2,4,research_director,4,Divorced,4492.84,33238.2,3,Y,No,14,3.0,2,Full Time,2,9.0,2,2.0,7,1,7,1994,153407.07,true
405,59.0,no,desconocido,1032.4872861766066,desconocido,24,4,desconocido,406,24,female,69.53208262471655,3,3,manufacturing_director,4,Single,8339.32,21682.23,6,desconocido,No,12,3.0,4,Part Time,0,10.0,6,2.0,9,5,4,1964,100071.84,false
406,43.0,no,travel_rarely,1032.4872861766066,desconocido,4,4,Marketing,407,4,male,69.53208262471655,2,3,sales_executive,4,Single,8339.32,21682.23,3,desconocido,No,14,3.0,4,Part Time,0,23.0,3,4.0,21,15,17,1980,100071.84,yes
407,44.0,yes,travel_rarely,1032.4872861766066,desconocido,15,3,Medical,408,1,male,129.06091077207583,3,3,healthcare_representative,4,Married,8339.32,21682.23,1,Y,desconocido,11,3.0,4,Part Time,1,10.0,2,3.0,10,0,5,1979,100071.84,yes
408,29.0,yes,desconocido,290.03550973654063, Research & Development ,7,3,Technical Degree,409,2,male,69.53208262471655,3,1,laboratory_technician,3,Divorced,2342.59,6090.75,3,desconocido,Yes,13,3.0,1,desconocido,2,10.0,2,3.0,7,7,7,1994,53914.11,1
409,32.0,no,travel_rarely,640.6111111111111,desconocido,8,3,desconocido,410,3,female,69.53208262471655,4,2,sales_executive,4,Married,5174.17,13452.83,1,desconocido,desconocido,15,3.0,3,Full Time,2,10.0,4,4.0,10,0,8,1991,62090.0,false
410,36.0,no,travel_rarely,731.9206349206349,desconocido,10,4,Technical Degree,411,4,male,69.53208262471655,3,3,healthcare_representative,3,Married,4492.84,15370.33,3,Y,No,12,3.0,1,Part Time,0,10.0,0,3.0,7,1,7,1987,70940.0,true
411,36.0,yes,desconocido,1032.4872861766066, Sales ,5,3,desconocido,412,2,female,69.53208262471655,3,3,sales_executive,2,Single,8339.32,21682.23,9,Y,Yes,19,3.0,3,Part Time,0,10.0,2,2.0,8,7,7,1971,100071.84,yes
412,39.0,no,travel_rarely,467.7936507936508,desconocido,33,2,desconocido,413,1,female,69.53208262471655,3,2,manufacturing_director,3,Single,3778.33,9823.67,0,desconocido,desconocido,11,3.0,1,desconocido,0,10.0,6,3.0,8,1,7,1984,45340.0,true
413,34.0,no,desconocido,876.984126984127,desconocido,9,3,desconocido,414,4,female,69.53208262471655,3,3,healthcare_representative,4,desconocido,7083.33,18416.67,0,desconocido,desconocido,11,3.0,4,Part Time,1,10.0,0,2.0,9,1,6,1989,85000.0,true
414,38.0,no,desconocido,556.2566609977324,desconocido,2,2,Life Sciences,415,2,male,69.53208262471655,3,2,sales_executive,1,desconocido,4492.84,11681.39,3,desconocido,desconocido,15,3.0,4,desconocido,1,11.0,3,3.0,7,1,7,1985,53914.11,true
415,36.0,no,travel_frequently,478.62698412698415, Sales ,12,3,Marketing,416,12,male,69.53208262471655,4,2,sales_executive,1,Marreid,3865.83,10051.17,2,Y,No,16,3.0,4,Part Time,1,10.0,2,2.0,15,6,13,1987,46390.0,1
416,35.0,no,desconocido,553.3253968253969,desconocido,1,3,desconocido,417,4,male,69.53208262471655,2,2,laboratory_technician,4,desconocido,4469.17,11619.83,0,Y,No,12,3.0,2,Part Time,1,10.0,0,3.0,9,0,0,1988,53630.0,0
417,55.0,yes,desconocido,1582.7713464696226,desconocido,13,4,desconocido,418,1,female,69.53208262471655,4,4,sales_executive,3,desconocido,12783.92,33238.2,6,Y,desconocido,17,3.0,3,Full Time,0,10.0,2,2.0,19,3,8,1968,153407.07,true
418,34.0,no,desconocido,556.2566609977324,desconocido,29,3,desconocido,419,2,female,69.53208262471655,3,2,laboratory_technician,3,desconocido,4492.84,11681.39,4,Y,desconocido,13,3.0,1,Part Time,2,10.0,1,3.0,8,7,7,1989,53914.11,0
419,43.0,no,desconocido,421.0555555555556,desconocido,6,3,Medical,420,1,male,69.53208262471655,2,2,research_scientist,3,Single,3400.83,8842.17,1,desconocido,Yes,14,3.0,1,Part Time,0,20.0,3,1.0,20,1,8,1980,40810.0,false
420,42.0,no,travel_rarely,1582.7713464696226,desconocido,10,3,Human Resources,421,3,male,69.53208262471655,3,4,manager,1,Married,12783.92,33238.2,0,desconocido,desconocido,14,3.0,3,Full Time,1,21.0,5,3.0,20,0,9,1981,153407.07,false
421,26.0,no,travel_rarely,369.1587301587302,desconocido,7,3,desconocido,422,3,female,69.53208262471655,4,1,laboratory_technician,1,Single,4492.84,7752.33,0,desconocido,No,12,3.0,4,Full Time,0,8.0,2,3.0,7,0,7,1997,35780.0,true
422,29.0,yes,desconocido,1032.4872861766066,desconocido,14,1,Other,423,3,male,69.53208262471655,3,3,healthcare_representative,4,Single,8339.32,21682.23,0,desconocido,Yes,12,3.0,1,Part Time,0,10.0,1,3.0,8,7,7,1994,100071.84,1
423,54.0,no,desconocido,1787.809523809524, Research & Development ,1,3,desconocido,424,4,male,223.47619047619048,3,4,research_director,4,desconocido,4492.84,37544.0,6,desconocido,desconocido,19,3.0,4,Full Time,0,29.0,3,2.0,20,12,7,1969,173280.0,0
424,55.0,no,desconocido,1582.7713464696226,desconocido,1,4,desconocido,425,2,female,69.53208262471655,4,4,research_director,4,Divorced,12783.92,33238.2,2,Y,No,13,3.0,4,Full Time,2,31.0,4,4.0,7,0,0,1968,153407.07,true
425,40.0,no,non-travel,556.2566609977324,desconocido,9,4,Other,426,3,female,69.53208262471655,3,2,laboratory_technician,3,desconocido,4492.84,11681.39,3,Y,No,11,3.0,3,Part Time,2,11.0,2,3.0,8,0,7,1983,53914.11,yes
426,36.0,no,desconocido,1113.563492063492,desconocido,8,2,desconocido,427,1,female,69.53208262471655,3,3,sales_executive,4,Divorced,8994.17,23384.83,1,desconocido,desconocido,18,3.0,1,Full Time,1,13.0,5,3.0,13,9,9,1992,107930.0,true
427,46.0,yes,desconocido,1032.4872861766066,desconocido,9,3,Marketing,428,1,female,69.53208262471655,3,3,sales_executive,4,Divorced,8339.32,21682.23,4,desconocido,No,11,3.0,1,desconocido,1,28.0,1,4.0,7,4,3,1977,53914.11,yes
428,45.0,no,travel_rarely,1119.547619047619,desconocido,20,3,Medical,429,2,female,69.53208262471655,1,3,healthcare_representative,1,desconocido,9042.5,23510.5,2,Y,Yes,18,3.0,2,Full Time,1,10.0,2,3.0,7,0,7,1978,108510.0,false
429,49.0,no,travel_rarely,1079.8253968253969,desconocido,7,4,Life Sciences,430,3,female,134.9781746031746,3,3,healthcare_representative,2,Divorced,4492.84,22676.33,3,Y,desconocido,14,3.0,2,Full Time,2,29.0,3,3.0,8,0,7,1974,104660.0,0
430,29.0,no,travel_rarely,556.2566609977324,desconocido,19,3,desconocido,431,3,female,69.53208262471655,2,2,sales_executive,3,desconocido,4492.84,11681.39,1,Y,desconocido,14,3.0,3,Part Time,2,10.0,3,3.0,10,0,4,1994,53914.11,1
431,29.0,yes,desconocido,243.6984126984127,desconocido,1,4,Technical Degree,432,1,female,69.53208262471655,2,1,research_scientist,1,Single,4492.84,5117.67,6,Y,No,13,3.0,3,Part Time,0,10.0,2,1.0,9,0,7,1994,23620.0,1
432,29.0,no,desconocido,556.2566609977324,desconocido,8,1,Other,433,3,male,69.53208262471655,1,2,healthcare_representative,1,desconocido,4492.84,11681.39,3,desconocido,No,13,3.0,3,Part Time,1,9.0,3,3.0,7,0,7,1994,53914.11,1
433,40.0,no,travel_rarely,1582.7713464696226, Human Resources ,6,2,desconocido,434,3,female,197.8464183087028,3,4,manager,4,Single,12783.92,33238.2,1,Y,Yes,21,4.0,4,Full Time,0,21.0,2,3.0,21,7,7,1983,153407.07,1
434,48.0,no,desconocido,664.3412698412699, Sales ,16,4,Life Sciences,435,3,male,69.53208262471655,3,2,sales_executive,3,Divorced,4492.84,13951.17,8,desconocido,No,14,3.0,3,Full Time,1,18.0,2,3.0,8,7,7,1975,64390.0,1
435,53.0,yes,desconocido,1032.4872861766066,desconocido,2,5,desconocido,436,3,male,69.53208262471655,2,3,manufacturing_director,4,Married,4492.84,21682.23,0,desconocido,desconocido,16,3.0,2,Part Time,1,10.0,4,3.0,33,1,9,1970,100071.84,yes
436,44.0,no,desconocido,1973.9841269841268,desconocido,7,3,Medical,437,2,male,69.53208262471655,3,5,research_director,4,desconocido,4492.84,41453.67,0,desconocido,Yes,14,3.0,4,desconocido,1,10.0,4,2.0,22,1,10,1979,191324.62,0
437,45.0,no,desconocido,595.2142857142857,desconocido,5,5,desconocido,438,3,male,74.40178571428571,1,2,laboratory_technician,1,desconocido,4492.84,12499.5,1,Y,desconocido,14,3.0,1,Full Time,0,10.0,3,3.0,10,1,4,1978,57690.0,false
438,45.0,no,non-travel,452.4206349206349,desconocido,26,3,Marketing,439,1,female,69.53208262471655,2,2,sales_executive,1,desconocido,3654.17,9500.83,1,Y,desconocido,15,3.0,1,desconocido,1,10.0,2,3.0,10,4,5,1978,53914.11,0
439,34.0,no,travel_frequently,556.2566609977324,desconocido,10,4,desconocido,440,3,female,69.53208262471655,4,2,manufacturing_director,4,desconocido,4492.84,11681.39,1,desconocido,desconocido,13,3.0,1,Part Time,1,9.0,3,3.0,9,7,2,1989,53914.11,1
440,39.0,no,desconocido,556.2566609977324, Research & Development ,10,5,Medical,441,2,female,69.53208262471655,3,2,manufacturing_director,1,desconocido,4492.84,11681.39,2,Y,desconocido,13,3.0,4,desconocido,3,10.0,3,3.0,7,7,7,1984,53914.11,0
441,27.0,no,desconocido,419.50793650793656, Research & Development ,36,3,desconocido,442,36,female,69.53208262471655,2,1,laboratory_technician,1,Divorced,3388.33,8809.67,1,desconocido,No,11,3.0,1,Full Time,2,7.0,3,3.0,7,0,7,1996,40660.0,yes
442,45.0,no,travel_rarely,556.2566609977324,desconocido,2,2,desconocido,443,4,male,69.53208262471655,2,2,manufacturing_director,4,Divorced,4492.84,11681.39,1,desconocido,desconocido,19,3.0,1,desconocido,2,10.0,3,3.0,10,3,9,1978,53914.11,1
443,44.0,no,desconocido,556.2566609977324,desconocido,1,5,desconocido,444,1,female,69.53208262471655,3,2,human_resources,4,Married,4492.84,11681.39,4,desconocido,Yes,11,3.0,3,desconocido,0,14.0,3,3.0,10,0,2,1979,53914.11,true
444,25.0,no,desconocido,537.1269841269842,desconocido,2,1,Life Sciences,445,4,female,67.14087301587303,4,2,manufacturing_director,3,Divorced,4338.33,11279.67,1,desconocido,desconocido,17,3.0,3,Part Time,2,7.0,6,3.0,7,0,7,1998,52060.0,false
445,49.0,no,desconocido,1582.7713464696226,desconocido,1,3,desconocido,446,3,female,69.53208262471655,3,4,manager,3,Single,12783.92,33238.2,4,Y,desconocido,14,3.0,1,Full Time,0,23.0,2,3.0,8,0,0,1974,153407.07,true
446,48.0,yes,travel_frequently,273.92857142857144,desconocido,7,2,desconocido,447,4,male,69.53208262471655,3,1,sales_representative,3,desconocido,2212.5,5752.5,2,desconocido,desconocido,11,3.0,3,desconocido,2,19.0,3,3.0,9,7,7,1975,53914.11,0
447,26.0,no,desconocido,265.1587301587302,desconocido,7,3,Medical,448,4,female,69.53208262471655,3,1,laboratory_technician,4,desconocido,2141.67,5568.33,1,desconocido,No,20,4.0,3,Part Time,0,7.0,5,3.0,7,5,7,1997,25700.0,1
448,44.0,no,travel_rarely,1032.4872861766066,desconocido,2,3,Life Sciences,449,3,male,129.06091077207583,4,3,healthcare_representative,4,desconocido,8339.32,21682.23,1,desconocido,desconocido,19,3.0,2,Part Time,1,10.0,2,3.0,8,6,7,1979,100071.84,1
449,36.0,no,desconocido,464.4920634920635,desconocido,2,4,desconocido,450,3,male,58.06150793650794,3,2,sales_representative,4,Single,3751.67,9754.33,3,Y,desconocido,15,3.0,3,Part Time,0,17.0,2,2.0,13,6,7,1987,45020.0,yes
450,46.0,no,desconocido,556.2566609977324, Research & Development ,13,4,desconocido,451,3,female,69.53208262471655,3,2,healthcare_representative,2,Single,4492.84,11681.39,6,desconocido,No,14,3.0,4,Part Time,0,19.0,3,3.0,10,0,9,1977,53914.11,true
451,35.0,no,desconocido,556.2566609977324,desconocido,27,4,Life Sciences,452,4,female,69.53208262471655,3,2,manufacturing_director,3,Married,4492.84,11681.39,2,Y,desconocido,16,3.0,2,Part Time,1,17.0,3,3.0,7,0,7,1988,53914.11,yes
452,30.0,no,travel_frequently,512.5714285714286,desconocido,2,4,desconocido,453,4,male,69.53208262471655,2,1,research_scientist,1,desconocido,4140.0,10764.0,0,Y,desconocido,16,3.0,4,desconocido,0,10.0,2,3.0,9,0,7,1993,49680.0,false
453,30.0,no,desconocido,1032.4872861766066,desconocido,15,2,Marketing,454,3,female,69.53208262471655,2,3,sales_executive,1,desconocido,8339.32,21682.23,2,desconocido,No,11,3.0,1,Part Time,1,10.0,2,3.0,7,1,7,1993,100071.84,1
454,33.0,no,non-travel,531.0396825396825,desconocido,2,3,Marketing,455,4,male,69.53208262471655,3,2,sales_executive,2,desconocido,4289.17,11151.83,8,desconocido,No,15,3.0,4,Part Time,0,13.0,2,2.0,11,1,7,1990,51470.0,true
455,32.0,no,desconocido,280.42857142857144,desconocido,5,4,desconocido,456,2,female,35.05357142857143,3,1,research_scientist,2,Single,2265.0,5889.0,2,Y,No,14,3.0,2,Part Time,0,12.0,3,3.0,7,0,7,1991,27180.0,1
456,43.0,no,travel_rarely,365.1349206349206,desconocido,2,3,Life Sciences,457,2,female,69.53208262471655,3,1,human_resources,4,desconocido,2949.17,7667.83,0,Y,No,13,3.0,2,desconocido,0,10.0,5,3.0,9,1,8,1980,53914.11,false
457,31.0,no,travel_rarely,564.1587301587302,desconocido,29,4,Marketing,458,1,male,69.53208262471655,2,2,sales_executive,4,desconocido,4556.67,11847.33,1,desconocido,desconocido,14,3.0,1,Full Time,2,10.0,3,3.0,12,5,7,1992,54680.0,1
458,35.0,yes,desconocido,599.7539682539682,desconocido,27,3,desconocido,459,3,female,69.53208262471655,3,2,sales_executive,4,desconocido,4844.17,12594.83,1,desconocido,desconocido,18,3.0,4,desconocido,0,10.0,2,3.0,10,7,7,1988,53914.11,false
459,35.0,no,non-travel,556.2566609977324, Research & Development ,2,2,Medical,460,2,female,69.53208262471655,3,2,manufacturing_director,4,Divorced,4492.84,11681.39,2,desconocido,No,14,3.0,3,desconocido,1,15.0,6,3.0,7,1,7,1988,53914.11,0
460,30.0,no,desconocido,997.3888888888888,desconocido,10,3,Medical,461,1,male,69.53208262471655,3,3,manufacturing_director,3,Single,8055.83,20945.17,9,Y,No,14,3.0,2,Part Time,0,9.0,3,3.0,7,0,2,1993,96670.0,false
461,46.0,yes,travel_rarely,556.2566609977324,desconocido,19,2,Medical,462,4,male,69.53208262471655,3,2,healthcare_representative,2,Married,4492.84,11681.39,4,desconocido,No,22,4.0,4,desconocido,1,13.0,2,4.0,9,3,7,1977,53914.11,0
462,45.0,no,non-travel,531.7619047619048,desconocido,2,4,desconocido,463,3,male,69.53208262471655,3,2,sales_executive,3,Married,4492.84,11167.0,4,Y,desconocido,22,4.0,2,Part Time,2,10.0,3,4.0,8,5,7,1978,51540.0,false
463,43.0,no,travel_frequently,585.515873015873,desconocido,2,4,Life Sciences,464,1,female,73.18948412698413,3,2,sales_executive,4,Married,4729.17,12295.83,1,desconocido,desconocido,20,4.0,3,Full Time,1,7.0,5,3.0,7,7,7,1980,56750.0,0
464,46.0,yes,desconocido,754.6190476190477,desconocido,10,3,Life Sciences,465,3,male,69.53208262471655,3,3,sales_executive,2,desconocido,6095.0,15847.0,5,Y,desconocido,21,4.0,3,Part Time,3,14.0,2,3.0,8,0,7,1977,73140.0,1
465,40.0,no,travel_rarely,1582.7713464696226, Research & Development ,1,4,desconocido,466,1,female,69.53208262471655,3,4,manager,1,desconocido,12783.92,33238.2,2,Y,desconocido,11,3.0,1,desconocido,1,22.0,3,3.0,19,11,16,1983,53914.11,true
466,27.0,no,travel_rarely,556.2566609977324, Sales ,2,2,desconocido,467,1,male,69.53208262471655,4,2,sales_executive,3,Single,4492.84,11681.39,0,Y,No,14,3.0,2,Part Time,0,9.0,5,2.0,8,0,7,1996,53914.11,false
467,42.0,no,desconocido,1032.4872861766066,desconocido,6,3,Medical,468,3,female,69.53208262471655,3,3,research_director,1,Married,8339.32,21682.23,9,Y,No,13,3.0,2,desconocido,1,18.0,3,4.0,13,5,7,1981,53914.11,1
468,26.0,no,travel_frequently,290.03550973654063,desconocido,6,3,Other,469,3,female,36.25443871706758,4,1,laboratory_technician,4,Married,2342.59,6090.75,0,desconocido,No,18,3.0,1,Part Time,1,8.0,3,3.0,7,7,7,1997,28111.13,true
469,28.0,no,travel_frequently,556.2566609977324,desconocido,1,2,Life Sciences,470,3,female,69.53208262471655,2,2,sales_executive,4,Married,4492.84,11681.39,1,desconocido,desconocido,12,3.0,3,Part Time,1,7.0,2,3.0,7,0,7,1995,53914.11,true
470,47.0,no,desconocido,556.2566609977324,desconocido,14,4,desconocido,471,3,female,69.53208262471655,3,2,research_scientist,2,Married,4492.84,11681.39,8,Y,desconocido,18,3.0,3,Part Time,1,10.0,4,4.0,8,1,7,1976,53914.11,0
471,34.0,no,travel_rarely,1032.4872861766066,desconocido,13,4,Medical,472,4,female,69.53208262471655,3,3,sales_executive,3,Divorced,8339.32,21682.23,1,desconocido,No,18,3.0,3,Part Time,1,9.0,2,2.0,8,1,1,1989,100071.84,1
